"Pattern","Path","SizeKB","Note"
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\README.md","13.19","Indicador detectado. Valor NO impreso por seguridad."
"PASSWORD_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\vite.config.js","3.05","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\vite.config.js","3.05","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\docs\api.md","2.9","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\.github\workflows\ci-bundle.yml","0.74","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\.github\workflows\ci-copr.yml","2.16","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\.github\workflows\ci-homebrew.yml","9.26","Indicador detectado. Valor NO impreso por seguridad."
"PASSWORD_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\.github\workflows\ci-macos.yml","10.03","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\.github\workflows\ci-windows.yml","12.42","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\.env","0.3","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\core\auth.ts","0.41","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\RUNEFOGE_PRO\runeforge-v2-ready\runeforge-v2\src\core\config.ts","1.05","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\essential_only\essential_only\.env","1.04","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\essential_only\essential_only\README.md","1.61","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\essential_only\essential_only\src\env.ts","1.42","Indicador detectado. Valor NO impreso por seguridad."
"TOKEN_ASSIGNMENT","C:\RUNEFOGE_PRO\essential_only\essential_only\src\relay\whatsapp\router.ts","1.24","Indicador detectado. Valor NO impreso por seguridad."
